0ad	古代战争即时策略游戏
mon-adhan-desktop	Mon Adhan Destkop - 普里埃 / 礼拜时间
monento	用于通过加密数据同步监控个人财务的跨平台应用程序。
xmr-miner-gui	只需使用通过图形用户界面控制的 CPU 即可挖掘门罗币 (XMR)。
monexec	具有可选 Consul 自动注册功能的轻量级管理器
mongo22	MongoDB 面向文档的数据库
mongo24	MongoDB 面向文档的数据库
mongo26	MongoDB 面向文档的数据库
mongo30	MongoDB 面向文档的数据库
mongo32	MongoDB 面向文档的数据库
mongo33	MongoDB 面向文档的数据库
mongo36-configurable	MongoDB面向文档的数据库，完全可配置！
mongo44-configurable	MongoDB面向文档的数据库，完全可配置！
monika	综合监控变得简单
monograph	用于在社交网络上创建文章和帖子的强大工具。
monoline	单线
monolith	Monolith - 轻松保存 HTML 页面
monophony	从 YouTube 串流音乐
monowinformsspy	用于检查 mono winforms 应用程序 UI 的工具。
monument	智能照片管理
moon-buggy	驾驶汽车穿越月球
moonbook	发票制作应用程序可以在不到一分钟的时间内创建简单的发票。该计费管理门户管理多个企业
moonlight	从另一台运行 Sunshine 或 GeForce Experience 的电脑流式传输游戏和应用程序
moon-modeler	适用于 MongoDB、Mongoose 和 noSQL 的数据建模工具
moonplayer	月球玩家
moosync	Moosync 是一款可定制的桌面音乐播放器，界面简洁
mootsgame	3D文字游戏
morgen	您唯一需要将日历、任务和日程安排整合到一处的应用程序
moroway-app	MOROway snApp
morpion	莫皮昂
morse-encode-and-decode	使用莫尔斯编码或解码
mtgcalc	仅根据收入来确定您的抵押贷款负担能力！
mosbbz	适配层 6502 的 Acorn MOS
moskotcho-password-generator	用于生成随机且安全密码的开源应用程序
mosquitto-configurable	可配置的蚊子捕捉
mosquitto	Eclipse Mosquitto MQTT 校正器
moted	座右铭
motes	现代笔记
motrix	完整的下载管理器
mountain-tapir	Mountain Tapir Collage Maker 是一款将图像组合成拼贴画的工具。
mounty	SSH 挂载目录
mousai	在几秒钟内识别歌曲
movie-monad	用 Haskell 制作的免费且易于使用的视频播放器。
moviesquare	适用于 Linux 桌面的电影发现客户端
movx	莫夫X
mp3gain	MP3Gain 分析并调整 mp3 文件，使它们具有相同的音量
mpg123-cm	快速控制台 MPEG 音频播放器
mpv	免费、开源、跨平台的媒体播放器
mpv-nilsboy	免费、开源、跨平台的媒体播放器。
mpv-wayland	仅 Wayland 的 mpv 媒体播放器快照
mpw	主密码应用程序的 CLI。
mqtt-client-cli	MQTT 客户端 CLI。
mqttd	OpenIoTHub Mqtt 代理。
mqttdesk	跨平台MQTT桌面客户端-MqttDesk
mqtt-explorer	全面且易于使用的 MQTT 客户端
mqtt-paho-mosca	订阅者和发布者 paho mqtt
mqttsrv	本地监听11883的mqtt服务器
mqttx	MQTT X：优雅的跨平台 MQTT 5.0 桌面客户端
mrrescue	街机风格的消防游戏
mrxecplayer	mrx_ec_player
ms-365-electron	MS-365-电子
msds	FISPQ
msnake	一个简单的贪吃蛇游戏
mspacman	吃豆夫人的 DOS 版本
mtail	用于指标导出器的 logtail-ing
mtask-desktop	超级酷的应用程序
mtproxy	简单的 MT-Proto 代理
webinar	MTS链接
muccadoro	使用 Figlet、cowsay 和 lolcat 的番茄计时器
mudlet-linux	一个跨平台、开源、超快的带有 Lua 脚本的 MUD 客户端
muezzin	伊斯兰祈祷时间 (Adhan) 和古兰经应用程序
muffet	Go 中的快速网站链接检查器
multi-app-launcher	在网格中加载多个应用程序并立即启动它们
multicommander	专业人士的文件管理器。
multicraft	Ubuntu 版本的 Multicraft 体素游戏
multipass-gui	多次通过
multipass	Ubuntu 快照虚拟机
multipass-sshfs	用于挂载主机目录的网络文件系统客户端
multipassword	MultiPassword 是一种可靠且安全的存储密码和网站登录信息的方法。
mumble	开源、低延迟、高质量语音聊天
mmapper	MMapper 是一个用于 MUME（中土世界多用户）的 mud 图形客户端和映射器
mummy-maze-deluxe	另一款很棒的 PopCap 益智游戏
munadi	简单的阿森应用程序
munatask	看板穆纳任务
mup-accounts	mup IRC 和 Telegram 机器人 - 帐户连接端
mupen64plus-gui	使用 GUI 构建 Mupen64plus 模拟器
mup-plugins	mup IRC 和 Telegram 机器人 - 插件端
musclecalc	健身 - 估计一次重复次数最大值 (1RM)
musescore	创建、演奏和打印精美的乐谱。
mushroomroulette	蘑菇轮盘是一款 2D 自上而下的基于关卡的益智游戏。
musicarley	适合所有人的免费音乐和视频播放器。
picard	Picard 是 MusicBrainz 的官方音频标记器
music-kitten	音乐小猫
musicly	一款简洁优雅的音乐播放器
musicpod	适用于 Ubuntu 桌面的音乐、播客和网络广播播放器
music-radar	Linux 桌面音乐识别应用程序
musikcube	基于终端的音乐播放器、元数据索引器和服务器
musiko	音乐
musixmatch	Musixmatch 桌面应用程序
mutable-mamba	Mutable Mamba 是一款与众不同的贪吃蛇游戏
mutt	杂种狗
mve	多视图环境
mve-mardy	多视图环境
mvisonneau-s5	安全存放超级敏感的东西
mvs-texturing-mardy	MVS 纹理 - 3D 重建纹理
mw-agent-host	测试总结
my-air-snap	这是我的快照
myappmaroine	使用 numpy 掷骰子。
my-awesome-app	这是演示应用程序。来自 Snapcrafters 模板 Plus
mycli	mycli 是 MySQL、MariaDB 和 Percona 的命令行界面。
my-covid-quizzie	测试申请
myedgesnap	我的压力
my-electron-app	Electron 的 hello world 应用程序的 Starship 版本
my-finroc-snap-app	my-finroc-snaptest 摘要
my-finroc-snap	my-finroc-snap 摘要
my-finroc-snaptest-app	my-finroc-snaptest-app 摘要
my-finroc-snaptest	my-finroc-snaptest 摘要
mygeniusapp	My Genius® 个人和企业监控应用程序
my-hello-javier	GNU 你好，你好世界快照
my-hello-snap	GNU 你好，你好世界快照
my-hello-world-app	你好世界应用程序。
myip	显示外部IP地址
myman-mreed	这是我男人的照片
mynews	个性化新闻源分析器和流媒体
mypdfsigner	MyPDFSigner 是使用 PKCS\#11 和 PKCS\#12 密钥库对 PDF 进行签名的工具。
myposoid-windows	MyPOS.卡萨
my-published-app	STDIN 的字典过滤器
my-releng	显示包和版本的测试项目
my-sh-test	单线
mysnap-mqtt	MQTT 往返快照。
mysql-query-profiler	MySQL 查询配置文件
mysql-shell	MySQL Shell 是 MySQL 服务器的高级客户端和代码编辑器。
mysql-workbench-community	MySQL工作台
mytelnet	米特尔网
mytestapp	Flutter 演示 Linux 计数器应用
mytestbank	测试台和测试生成程序。
mytestbankplus	测试台和测试生成程序。
my-test-snap	我的即时测试总结
my-test-snap-tmp	我的 snap tmp 测试
myth-makers-trixie-in-toyland	3D 动作平台游戏
mytvlist	电视列表
mz2-schemaspy	简单轻松地记录您的数据库
mzap	多目标 ZAP 扫描
n3dr	Nexus3灾难恢复
namebench-snap	namebench，DNS服务基准测试工具
namecoin-core	比特币释放了资金——Namecoin 释放了 DNS、身份和其他技术。
nano-editor	纳米文本编辑器
nanovoid	具有详细渲染 2D 图形的经典 2D 太空射击游戏
nanowallet	NEM 区块链平台的安全接口。
nap-snippets	Nap 是终端的代码片段管理器
natcloud	内网NAT
natls	⚡ 你永远不知道你需要的“ls”替代品⚡
nativefier	Nativefier是一个命令行工具，可以轻松创建“桌面应用程序”
natron	纳特龙
nats	适用于 NATS（云原生消息系统）的高性能服务器
nats-server	NATS 高性能服务器
naval-battle	战舰版
navisign-player	NaviSign 阅读器
navoki-notes	记笔记并在所有移动、网络、桌面设备上同步
nax	过着纯文本招聘的生活。
nbok	NBOK 允许 Mac、Windows、Linux、Android/iPhone 相互通信、发送消息或文件
mosaic	NCSA 马赛克
ncspot	用 Rust 编写的跨平台 Spotify ncurses 客户端
ndsi-node-exporter	普罗米修斯节点导出器
ndsi-process-exporter	普罗米修斯进程导出器
ndsi-rsync	在 Linux/Unix 系统上复制和同步文件和目录。
nebula	可扩展的覆盖网络工具。
nebula-lighthouse-service	可扩展的覆盖网络工具。
nectarjs	JavaScript 版 Deus Mod
nectar-mosaic-manager	马赛克管理器
nectir	花蜜
nelson	我们去尼尔森吧！用于科学和工程应用的矩阵语言
neocd	NeoGeo CD 模拟器
neochat	去中心化通信协议 Matrix 的客户端
neofetch-desktop	Neofetch 桌面
neomutt	NeoMutt 是一个命令行电子邮件阅读器（或 MUA）
neopocott	NeoPocott，NeoGeo Pocket 模拟器
neopop	NeoGeo 袖珍模拟器
neovide	您可能会找到的最快的 Vim 编辑器。
nvim	Vim-fork 专注于可扩展性和可用性
neovim-kalikiana	Vim-fork 专注于可扩展性和敏捷性。
nepaliunicode	Unicode 转换器应用程序，支持 GNU/Linux、Windows 和 macOS。
nervatura	开源业务管理框架
nest-desktop	NEST Simulator 的基于 Web 的 GUI 应用程序。
net2o	网络2o快照
netaccess	批准/撤销您在 IIT Madras 机器上的互联网访问
netactview	图形网络连接查看器
netcalc	网络计算器
netconf-client	用于查询服务器的 Netconf CLI 实用程序
dotnet-runtime-21	跨平台 .NET Core 运行时。
dotnet-sdk	在任何平台上用更短的时间开发高性能应用程序。
netdiscover-ondra	网络发现
netflix-web	Netflix
nethack	流行的 nethack 控制台冒险游戏
netota	SysOTA 网络服务套件
netpanel-desktop	NetPanel桌面
netron	内创
dotnet-runtime-31	跨平台 .NET Core 运行时。
dotnet-runtime-50	跨平台.NET 运行时。
net-snmp	SNMP代理
net-toolbox	网络工具
netvfy-agent	Netvfy - 连接到您的安全虚拟网络。
netvirt-agent2	NetVirt是一个网络虚拟化平台。
network-manager	网络经理
net-worth	快速概览您的贵金属和加密资产！
neuronify	教育神经网络应用
neverbore	一款图片逻辑益智游戏
mir-kiosk-neverputt	neverputt 打包为 IoT GUI
new-guid	new-guid 是一个简单的 CLI 应用程序，在调用时返回新的伪随机 GUID/UUID。
newnode-helper	将节点添加到 NewNode VPN 对等网络
newpass	在命令行生成指定长度的随机密码
newrelic-cli	一个整合 New Relic 提供的资源管理工具的项目。
newsboat	用于文本终端的 RSS/Atom 提要阅读器
newsfind	按关键字搜索新闻
newsflash	关注您最喜欢的博客和新闻网站。
newt	深入探索精彩故事
newton	Newton Mail 以低于一杯咖啡的价格为您的电子邮件增压。
new-vegas-games	赌场赌桌和纸牌游戏
nextbox	Nitrokey NextBox 核心 Snap
nextcloud-desktop-client	Next云桌面客户端
nextcloud	Nextcloud 服务器 – 所有数据的安全之家
nextcloud-nextant	Nextcloud 服务器 + 搜索支持
nextcloud-nextbox	Nitrokey Nextbox Nextcloud 服务器
nextcloud-port8080	下一个云服务器
next-neuron	基于ubuntu core20的浪潮安全网关
nexus	用 Go 编写的完整 WAMP v2 路由器和客户端
nftables-pk	nftables 是替代 iptables 的新数据包分类框架
ngcodec	快照Python测试
ngif	nGIF for Linux（未维护，使用 Almond Viewer）
nginx-prometheus-exporter	适用于 NGINX 和 NGINX Plus 的 NGINX Prometheus 导出器
nginxrtmp-minsikl	基于NGINX和RTMP的直播服务器
ngraph-gtk-htrb	用于创建科学二维图形的程序。
ngrok-cimm	为本地主机提供安全的可自省隧道。
ngrok	ngrok 是可编程网络边缘，无需更改代码即可为您的应用程序添加连接性、安全性和可观察性。
nhasachhalong	Nhà Sạch Hạ Long - Dịch vụ vệ sinh công nghiệp 广宁
nibras	专为阿尔及利亚大学技术专业一年级学生设计的指南和词典
nift	网络开发框架
nightfall-hacker	计划、破解和打击有害软件。
nightmayr-plasma-integration-5-2204	共享 Qt 5.15
nightmayr-qgnomeplatform-qt5-2204	QGnome平台
nightmayr-qt-5-15-6-2204	共享 Qt 5.15
nightmayr-qt-5-15-6-2204-sdk	共享 Qt 5.15
night-mission-pinball	使用 Pinball Construction Set 制作的弹球游戏
nightwing	本地服务跟踪远程服务项目并为您提供报告。
niki	所有多媒体播放器
nikola	模块化、快速、简单、静态的网站和博客生成器
nilay-apps	GNU 你好，你好世界快照
nilog-app	Nilog 支持 - 专业团队在购买后提供支持
nimblenote	敏捷笔记
nimetovna	一个简单的 Hello World 程序。
ningpo-mah-jong	又一款很棒的 PopCap 游戏
nino	尼诺网速监控器
nirenjan-git	Git - 一个快速且可扩展的分布式版本控制系统
nitrokey-app	硝基键应用
nkust-ap	恩科科技大学AP
nls	英语结构分析器
nmap	用于网络发现和安全审核的免费开源实用程序
nmfu	解析器生成器
no-gba	任天堂 GBA 模拟器
noabspath	检测代码库中用 Rust 编写的硬编码绝对路径
noahs-ark-deluxe	另一款很棒的 PopCap 配对游戏
nockberge	演示快照
nocloud	NoCloud 平台 CLI
nocturn-mardy	夜
node-env	Ubuntu服务器上创建node环境的工具
nodejs-binaries	Node.js 二进制文件。
nodeled	用于控制 Raspberry Pi 上 RGB LED 的简单 REST API
nodemailerapp	最好的电子邮件调试工具
node-red-amd64	红色节点
node-red	事件驱动应用程序的低代码编程
node-red-industrial	事件驱动应用程序的低代码编程
node-red-rpi-lwl	事件驱动应用程序的低代码编程
nsw	用于快照的可配置 Web 服务器
node-web-server-tcs-poc	Chuck Norris 报价服务器上的 TCS POC
nodo	支持 Amazon S3 API 的开源地理空间存储服务器
noetter	诺特
no-gravity	高速太空射击游戏
noip-client	适用于 Linux 的无 IP 动态 DNS 更新客户端
noipy	用于更新 DDNS 主机 IP 的命令行工具 - No-IP、DuckDNS 和 DynDNS
nomad	轻松部署任何规模的应用程序
no-more-secrets	CLI 工具，可重现电影《网球》中的解密效果。
nongnu-gsequencer	高级 Gtk+ 音序器
nonogram-qt	Nonogram-qt 是一款益智游戏，将生成（半）随机非图谜题
nonpareil-cm	计算器的高保真模拟器
nope	不
thingy52	紧凑型多传感器 BLE 原型平台
nordpass	北通
norka	文本编辑器旨在简化
noson	在 SONOS 设备上控制音乐的要点
notable	基于 Markdown 的笔记应用程序并不糟糕。
notable-utility	更新您的 reMarkable 屏幕。
notepad3	Notepad3 是一个快速且轻量级的文本编辑器。
npdd	一个简单的 Notepad++ 类型编辑器。
notepadqq	类似于 Linux 下的 Notepad++ 的编辑器。
notepad-plus-plus	notepad-plus-plus 是一个免费的源代码编辑器。
web-notes	具有完整文件管理功能的笔记应用程序
notes	笔记应用，写下你的想法
notesnook	Evernote 的开源、端到端加密笔记替代品。
notewriter	简单的笔记书写器
notex	用 C++ 编写的简单记事本应用程序！
notifi	HTTP 推送通知
notifier	在不同平台发布通知的小帮手
notion-calendar-snap	适用于 Linux 发行版的非官方 Notion 日历应用程序
notion-snap-reborn	观念瞬间重生
notus	对 COVID-19 的传播进行建模，以创建更安全的多房间布局。
novnc	使用 HTML5 的开源 VNC 客户端（WebSockets、Canvas）
np-dictionnaire	Dictionnaire Français hors-ligne（基于拉鲁斯）
np-resistor	带颜色和 Ω 的电阻计算器
nps-svn-client	NPS Subversion 客户端提供了一个简单的图形 Subversion 客户端。
nrgeditor	NRG - 实时应用程序开发环境
nrich	用于分析 IP 开放端口/漏洞的 CLI 工具
nrj-fr-radio	NRJ.fr 电台
nsd-exporter	NSD（名称服务器守护进程）的 Prometheus 导出器
ntopng-blake	基于网络的高速流量分析和流量收集。
