0ad	Forn stríðsleikur í rauntíma
outpost	Ítarleg færsla
outwiker	Hugbúnaður á milli palla til að geyma glósurnar þínar í tré
oval-xml-feed-merge	Tól til að sameina OVAL XML strauma
overlay	Verkfæri til að aðstoða við að kemba skrifvarið squashfs snaps í gegnum yfirlögn
overleaf	Óopinbert Overleaf Desktop forrit
overseerr	Biðja um stjórnunar- og fjölmiðlauppgötvunartæki fyrir Plex vistkerfið
oversetter	Yfirmaður
ovolic	Ovolic er staðbundinn sjálfstætt starfandi markaður sem getur veitt þér bestu sjálfstætt upplifun.
ovs-stat	Búðu til framsetningu í sysfs-stíl fyrir Open vSwitch rofa.
ownrwallet	OWNR Crypto veski og Visa kort - bitcoin, ethereum, btc, eth, crypto veski
owwatcher	Greinir þegar heimskrifanlegar skrár eru búnar til í tiltekinni möppu
oxygen-cursors	Súrefnisbendill þemu
p2pool	Dreifð laug fyrir Monero námuvinnslu.
p3x-onenote	P3X OneNote
p3x-redis-ui	P3X Redis UI
p65pas	Cross-platform Pascal cross-compiler fyrir 6502 CPU
p7zip-desktop	P7Zip - Skrifborð
pa-applet	púls hljóð smáforrit
pablodraw	PabloDraw - ANSI teikniforritið
pacewar	Í fjarlægri framtíð berjast tvær fylkingar um stjórn á geimnum
packageproxy	Um það bil byggður pakkaþjónn sem keyrir á höfn 9999
package-resolved	Safnaðu öllum pakkningum!
packer-abacao	Packer - Búðu til myndir af sjálfvirkum vélum
packer	Tól til að búa til vélamyndir fyrir marga palla
packer-res0nat0r	Packer - Búðu til myndir af sjálfvirkum vélum
packer-spirotot	Packer - Búðu til myndir af sjálfvirkum vélum
packetsender	Pakkasendi - Ókeypis TCP/UDP/SSL/HTTP tól
packr2	Einföld og auðveld leiðin til að fella inn kyrrstæðar skrár í Go tvöfaldur.
pacman-crasher	Ókeypis endurgerð af ZX Spectrum þrautaleik sem heitir Gatecrasher
pacmans-revenge	Pacman með nýjan leikþátt
pacote-legal-desireesantos	Þessi pakki er virkilega flottur
pac-vs	PAC er Perl/GTK Gnome í staðinn fyrir SecureCRT/Putty/etc.
padloc	Nútímalegur lykilorðastjóri fyrir einstaklinga og teymi
pageme-business	Öruggt dulkóðað skilaboðaforrit knúið af Matrix
pageres	Taktu skjámyndir af vefsíðu
paintpp	Þverpalla klón af Paint.net
paintsupreme-3d	Mála Supreme 3D
palapeli	Þraut
pal-pv	Vinur
pall	Veldu lit. Hvar sem er.
paneladmin	titra
panelone	Panel
panorama	Einfaldur kerfisskjár fyrir Linux
panwriter	PanWriter
paper-wallet-generator	PaperWallet Cryptocurrency Generator
paper	Taktu minnispunkta í Markdown
paper-flight	Áhugaverður leikur
papyrus	Papyrus – Einfalt öryggisafritunartæki fyrir pappír
tube-converter	Sækja myndbandið og hljóðið af vefnum
paradrop-agent	Paradrop Agent til að stjórna brúntölvuhnút
paradrop-imserve	Sýndarmyndavél sem sýnir myndir í röð.
paradrop-router	Paradrop þráðlaus beini
paradrop-snmpd	SNMP umboðsmaður pakkaður fyrir ParaDrop
paradrop-tools	ParaDrop þróunarverkfæri
paradrop-voice	Virkjaðu raddúttak og viðurkenningu fyrir Paradrop hnúta.
para	Gagnlegt tól til að greina stjórnendur hugbúnaðarpakka.
paratextlite	Paratext Lite í gangi á skjáborðinu
parca-agent	Parca Agent er alltaf-virkur sýnatökuprófari sem notar eBPF
parca	Parca samfellt prófíltól
parity	Hratt, léttur og öflugur Ethereum viðskiptavinur.
parity-ui	Jöfnuður HÍ
parkourland-remastered	Upplifðu fyrsta Parkourland á Linux!
parley	þjálfari orðaforða
parq	CLI til að kanna parketskrár.
parsec	Öruggur skýrammi
pass-hash	lykilorðs-kássa og bera saman lykilorð við kjötkássa
passie	Einfaldur en öflugur lykilorðaframleiðandi.
passky	passsky
passprox	HAProxy með meðfylgjandi Certbot (við skulum dulkóða stuðning)
passvault	öruggt
password-creator	Búðu til sterk lykilorð auðveldlega. Aldrei hafa áhyggjur af öryggi reikninga þinna aftur!
password-creator-fullscreen	Búðu til sterk lykilorð auðveldlega. Aldrei hafa áhyggjur af öryggi reikninga þinna aftur!
passwordlocker	lykilorðablokkari
passwordz	Lykilorðsstjóri
passy	Ótengdur lykilorðastjóri með samstillingu á vettvangi
pastel	skipanalínutól til að búa til, greina, umbreyta og vinna með liti.
pataforce8-hello	GNU Halló, Hello World snap
ssb-patchwork	Dreifð skilaboða- og samnýtingarforrit byggt ofan á Secure Scuttlebutt (SSB).
pateway	Python Gateway fyrir BlackBear
pathplanner	Einfaldur en öflugur hreyfiprófari fyrir FRC vélmenni
patience	Solitaire útgáfa með 200 leikjum
pc-desktop	PC græja fyrir almenn tæki
pc	AMD64 almennur pakki
pciids	Leitaðu að nöfnum söluaðila og tækja með því að nota PCI auðkenni!
pciutils	PCI Linux tól
pc-kernel	Hinn kanóníski almenni amd64 kjarni
pcsc-gscriptor	GUI til að senda skipanir á snjallkort með því að nota hópskrá eða stdin.
pc-turtlebot-kyrofa	AMD64 græja fyrir Turtlebot 2
pcynlitx	Sérstök snjall IDE fyrir fjölþráða forrit.
pd-ceammc	CEAMMC Pure Data Distribution
pdfarranger	Sameina, endurraða, skipta, snúa og klippa PDF
pdfcrack-simosx	pdfcrack er skipanalína og endurheimt lykilorðs fyrir PDF skrár.
pdfmerger	PDF sameining
pdfmixtool	Forrit til að framkvæma algengar klippingaraðgerðir á PDF skjölum
pdftk	skipanalínutól til að vinna með PDF skjöl
pdftk-snap	PDFtk þjónn
pear-browser	Pera
pebble	Pebble - taktu stjórn á innri púkunum þínum!
peco	peco Snap pakki
peepeelunky	peepeelunky námuvinnsluleikur
peggle-wow-edition	Áhugaverður leikur Pachinko
pelican-foli	Pelican static website rafall
pencil	GUI/wireframing skissu- og frumgerð tól
pencilsheep	Ókeypis faglegur myndritari með fullri GPU hröðun
pencil-snap-demo	Opinn uppspretta GUI frumgerð tól
pendulums	Pendulums - Ókeypis, ótakmarkað, auðvelt í notkun tímamælingarforrit
pengapop	Demo af flottum hasarleik
penguinator-cli	CLI viðskiptavinur fyrir Azure Penguinator API
penguin-subtitle-player	Óháður textaspilari á vettvangi, opinn uppspretta
penpot-desktop	Færðu hönnunarfrelsi til vöruteymis þíns
pentobi-game	Pentobi blokk leik útgáfa
pepe-party	Bjóddu Pepe í flugstöðina þína!
percobaan	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
perestroika	lítill en stefnumótandi spilakassaleikur
perfect-chessmate	Einfaldur hugbúnaður til að spila skák
performous-snap	Opinn uppspretta tónlist og taktur leikur.
pwbm	Persónuleg WayBack vél
peruse	grínisti lesandi
petname	búa til áberandi, jafnvel eftirminnileg gæludýranöfn
pfbackup	pfSense stillingar öryggisafrit tól
pgsql-cli	Postgres viðskiptavinur
phaktionz	Phaktionz CLI Wiki
phantom	Ghost Server Proxy
pharo	Pharo 6 smáspjall
phatch-gui	Photo Batch örgjörvi í Python
phicomm-r1-controler	Phicomm R1 stjórnandi.
phockup	Mynda- og myndflokkunartæki
phoronix-news	phoronix fréttir
photo-hash	AsciiArt Creator
photometric-viewer	Skoða ljósmælingarskrár
photonotebook	Samsettur mynda- og minnisstjóri.
photoscape	PhotoScape er skemmtilegur og auðveldur myndvinnsluforrit til að laga og bæta myndir.
phpstorm	PHPStorm
phrasalverbs	orðasambönd á ensku
phytool	Stillt útgáfa af fittool skipun fyrir aðgang að MDIO tæki
pi2	Raspberry Pi 2 stuðningspakki
picasa-snap	Picasa er ókeypis ljósmyndastjórnunarhugbúnaður frá Google.
picd	Ljósmynd
pick-colour-picker	Litavali sem man hvaðan þú valdir liti
pick-files	Forskrift sem velur handahófsval af skrám
pickingems	Leikur byggður á Pickin' Sticks eftir Rachel J. Morris
picmi	Þrautaleikur byggður á tölulegri rökfræði
picocrypt	Mjög lítið, mjög einfalt, en mjög öruggt dulkóðunartæki.
picpas	Pascal krossþýðandi fyrir Microchip 8-bita PIC örstýringar.
pictool	skipanalínuforrit til að vinna með og breyta myndum
picviewer	Skipanalínumyndaskoðari ætlaður til notkunar með flísargluggastjórum
picviewer-kiosk	Myndavél fyrir söluturn sem er ætlaður til notkunar með mir-söluturni
pid-usage	Finndu CPU og vinnsluminni nýtingu ferlis
pieces-for-developers	Hlutar þróunaraðila
pieces-os	Bakgrunnsþjónusta sem knýr varahlutavörur og viðbætur
pied	Pied einfaldar uppsetningu og stjórnun texta-í-tal radda.
pigami	Ævintýri með rúllandi blokk.
piggy-dice	Einfaldur leikur fyrir tvo leikmenn gert í JavaFX
piggy	Einfaldur javaFX leikur fyrir 2 leikmenn
pigo	Pure Go andlitsgreiningarsafn
pijul	Einfalt, dreift, hratt. Veldu hvaða þrjá sem er.
pinballhalloween2021	3D Halloween pinball leikur
pinball-const-set	DOS útgáfa af Pinball Construction Set
pinboard	Búðu til sýndar gagnvirkar auglýsingatöflur auðveldlega
pingdash	Fylgstu með mörgum fjarkerfum
pingleware-deploy-cli	Setur upp snjöllum samnings bækikóða á blockchain
pingpath	ping umbúðir fyrir netgreiningu
pingus-game	Ókeypis Lemmings(TM) klón
pinta	Málverk gert einfalt!
pin-town	Hjálpaðu Pin Pals í þessum Pachinko-innblásna eðlisfræðiþrautaleik
pioneers-game	Landnámsmenn af Catan útgáfa
pioneer	Pioneer Space Simulator
pipe2drive	Settu gögnin þín inn í Google Drive
pipewalker-game	Pípusmíðaleikjaútgáfa
pi-summation-go	Golang forrit til að reikna út pi
pivx-core	stafrænn gjaldmiðill byggður á jafningjaneti
pivx	PIVX (Privat - Skyndimynd - Staðfest - Færsla)
pi-wifi-connect	Tengdu tækið við ytra Wi-Fi í gegnum tímabundið Wi-Fi AP
pixbuf-desktop	Pixbuf er besta leiðin til að deila og selja myndirnar þínar.
pixelfx	Quick Image Retouching App fyrir Linux skjáborð
pixelorama	Pixelorama sprite ritstjóri
pizzadough-helper	Fáðu uppskriftina að pizzunni þinni!
plagiarismchecker	Fullkomnasta ritstuldsskoðunarforritið til að greina tvítekið efni á nokkrum sekúndum.
plagiarismremover	Fjarlægðu ritstuld úr efninu þínu með þessu forriti til að fjarlægja ritstuld.
plaid	Jira Personal Work Log Editor
planet-jumper	Einfaldur leikur sem leikur með þyngdarafl
planetlander	Verja pláneturnar frá geimmorðingjasteinum!
planets-puzzle	Reikistjörnur - rennibrautargáta
plannable	skipulegt
playary	Horfðu á og hlustaðu á hvað sem er, hvar sem er, hvenær sem er ÓKEYPIS
playlist-dl	YouTube spilunarlista niðurhal
psolitairef	Falleg útgáfa af Patience
plenti	Einstaklega einfalt SSG með Svelte framenda og Go CLI
plex-desktop	Plex viðskiptavinur fyrir Linux
plex-htpc	Plex HTPC viðskiptavinur fyrir Linux
plexmediaserver	Fjölmiðlar þínir á öllum tækjunum þínum.
rjd-plink107	PLINK skipanalínuforrit fyrir erfðafræði
rjd-plink2	Gagnsemi fyrir erfðafræði.
plink	PLINK skipanalínuforrit fyrir erfðafræði
plotjuggler	Tímaröð sjónræn tól sem þú átt skilið
plotjuggler-ros	Tímaröð sjónræn tól sem þú átt skilið (ROS Noetic innifalinn)
plots	Einföld graf teikning
pluginblueprint	Sjónræn forritunarritstjóri fyrir Spigot, til að búa til þín eigin viðbætur án nokkurrar forritunarreynslu!
plumber	Media Cutter/Downloader fyrir Linux skjáborð
pmtris	Tetris klón fátæks mannsins
pngquant	Lossy PNG þjöppu
pocket-browser	Opinn uppspretta vafri smíðaður fyrir næði og öryggi!
pocket-casts	Pocket Casts vefappið, pakkað fyrir skjáborð.
pocketmine-server-manager	Stjórnaðu pocketmine netþjónum á auðveldan hátt!
pockit	Óopinber vasa viðskiptavinur
podcast-dl	podcast-dl
podcast-dl-gael	Einfalt handrit til að hlaða niður YouTube podcast og RSS straumum
podcasts	Hlustaðu á uppáhalds forritin þín
poddr	Podcast Desktop viðskiptavinur
podlite	podlite
podpublish	Tól til að kóða og birta podcast efni og eignir
poedit	Einfaldur þýðingarritstjóri
poe-writer	ljóðahöfundur
pogo	Hraður og lægstur hljóðspilari fyrir Linux
pointeo	Þjappaðu saman, hlaðið upp og deildu stórum punktskýjum á skilvirkan hátt.
poke	GNU Poke tvöfaldur ritstjóri
pokejava	PokeJava er Pokémon bardagahermir skrifaður á Java.
pokemmo	PokeMMO leikja viðskiptavinur
pokerth	PokerTH 1.1.2
pokete	Pokémon-líkur leikur sem byggir á flugstöðinni
polar-bookshelf	Polar bókahilla - Stjórnandi fyrir vef, bækur, PDF skjöl + athugasemdir
police	Lögreglan er reglubundið strengjaskilaforrit.
polispay	PolisPay – Öruggt dulritunargjaldmiðilsveski
polkadot	Polkadot – Fjölkeðjuramma fyrir betri samvirkni blockchain
polonium	Polonium er ríkisfangslaus lykilorðastjóri.
polymc	Sérsniðið ræsiforrit fyrir Minecraft sem gerir þér kleift að stjórna mörgum Minecraft uppsetningum á einfaldan hátt í einu (Fork of MultiMC)
pomatez	Stílhreint skrifborðsforrit á vettvangi fyrir unnendur Pomodoro.
pomotroid	Pomotroid er einfaldur og sjónrænt ánægjulegur Pomodoro-teljari.
ponto-web-agente-comunicacao	Secullum Web Point
ponymix	CLI hljóðstyrkstýring fyrir PulseAudio
ponysay	endurútfærsla á kúavarpi fyrir hesta
popeye	Kubernetes klasahreinsiefni og linter.
pop-themes	Snap sem flytur út Pop! _OS GTK og táknþemu.
porkbun-ddns	Haltu Porkbun DNS skránum þínum uppfærðum með núverandi IP tölu þinni
portal	Fljótleg og auðveld skipanalínuskráaflutningsforrit frá hvaða tölvu sem er í aðra.
portal-puzzle	Í stafræna heiminum þarftu ekki að vera takmarkaður af hliðstæðum kassa
port	Skipahlaupari og framkvæmdastjóri Urbit OS
portx	PortX - SSH og SFTP viðskiptavinur
porydrive	3D akstursleikur.
posecalib	Gagnvirk kvörðun myndavélar með skilvirku vali á stöðu
postbird	PostgreSQL GUI viðskiptavinur
postfix-mta-sts-resolver	Stefnaþjónn fyrir Postfix sem sér um MTA-STS upplausn
postgresql10	PostgreSQL er öflugt opinn uppspretta gagnagrunnskerfi sem tengist hlutum.
postgresql93	PostgreSQL er öflugt opinn uppspretta gagnagrunnskerfi sem tengist hlutum.
postgresql94	PostgreSQL er öflugt opinn uppspretta gagnagrunnskerfi sem tengist hlutum.
postgresql95	PostgreSQL er öflugt opinn uppspretta gagnagrunnskerfi sem tengist hlutum.
postgresql95-pgpool2-35	pgpool-II er tengingargeymir fyrir PostgreSQL.
postgresql95-pgpool2-36	pgpool-II er tengingargeymir fyrir PostgreSQL.
postgresql96	PostgreSQL er öflugt opinn uppspretta gagnagrunnskerfi sem tengist hlutum.
postgresql-pgbouncer	Léttur tengipooler fyrir PostgreSQL
postman	API þróunarumhverfi
potato	Kartöfluspjall
pouetchess	3D útgáfa af Chess fyrir Windows
powermanagement	Orkustjórnun
powerscheduler	Lokunaráætlun fyrir Ubuntu og Ubuntu Core kerfi.
powershell	PowerShell fyrir öll kerfi!
powershell-preview	PowerShell fyrir öll kerfi!
powerswitch	Endurræstu eða slökktu á Ubuntu Core kerfum með því að nota curl.
powertabeditor	Skoðaðu og breyttu gítartöflum
powertop-robertliu	greina vandamál með orkunotkun og stjórnun
powtty	PowTTY var skrifað með DIKU-undirstaða MUD MUME í huga
powwow	Powwow er biðlaraforrit sem er fyrst og fremst ætlað til að spila MUD
ppa-dev-tools	Verkfæri til að búa til, setja upp og breyta PPA
ppmdesktop	ppm skrifborð
ppsspp-emu	Færanleg PlayStation keppinautur
praisenter	Hugbúnaðarpakki fyrir kynningar fyrir kirkjur
pratical-alarm	hagnýt viðvörun fyrir Linux
prboom-plus-beidl	Útgáfa af klassíska þrívíddarskyttunni Doom
predix-ts-sample	Þetta er Predix tímaraðar sýnishornsforritið. Hannað af Altoros
prehistoric	Það er verið að ráðast inn í þorpið af risaeðlum, vernda þorpið og drepa allar risaeðlur. Farðu í þetta ævintýri.
preseedy	Cloud-init forstillingarprófunartæki
pretzeldesktop	pretzel skrifborð
preyproject	Tól til að fylgjast með stolnum eða týndum tækjum.
primate	Nútíma skrifborðsforrit fyrir Kong stjórnendur
printenvi	Prentumhverfi
printtree	Prentaðu tré
proaction	Búðu til betri GitHub Action verkflæði
probatio	Allt-í-einn gámurinn og þróunartólið
go-probe	Einfölduð samþættingarprófun með YAML og JQ
probot	Spjallbót
procenv	Skipanalínuforrit til að sýna ferli umhverfi
processapp	afgreiða umsókn
procs	Nútímaleg staðgengill fyrir ps skrifað í Rust
progen3d	Hönnun 3D verklags rafall
prog-exec	Tól til að draga út/keyra forskriftir á netinu.
project-code	Verkefnakóði
jupyter	Jupyter metapakka. Settu upp alla Jupyter íhluti í einu.
projectlibre	Verkefnastjórnunarhugbúnaður – Valkostur við Microsoft Project
proji	Öflugt CLI verkefnalíkanaverkfæri á milli vettvanga.
prometheus-alertmanager	Prometheus Alert Manager
prometheus-alertmanager-is	Viðvörunarstjóri Prometheus
prometheus-bind-exporter	Prometheus bindandi útflytjandi
prometheus-blackbox-exporter	Prometheus Black Box útflytjandi
prometheus-ceph-exporter	Óopinber Prometheus Ceph Exporter snappakki
prometheus	Prometheus eftirlitskerfið og gagnagrunnur tímaraða
prometheus-grok-exporter	Flytja út Prometheus mæligildi úr greindum annálagögnum
prometheus-haproxy-exporter	Prometheus haproxy_exporter til að fylgjast með haproxy þjónustu
prometheus-iscsi-exporter	Flytja út iscsi mæligildi til Prometheus
prometheus-juju-backup-all-exporter	safnar afritunarniðurstöðum og flytur þær út sem mælikvarða
prometheus-juju-exporter	safnar og flytur út stöðumælingar fyrir juju vélar
prometheus-libvirt-exporter	Prometheus libvirt útflytjandinn
prometheus-mongodb-exporter	Prometheus mongodb útflytjandi
prometheus-openstack-exporter	Afhjúpar OpenStack mælingar á háu stigi fyrir Prometheus.
prometheus-ovn-exporter	Prometheus OVN útflytjandi
prometheus-ovs-exporter	Prometheus OpenVswitch útflytjandi
prometheus-pushgateway	Óopinber Prometheus Pushgateway Snap
prometheus-snmp-exporter	Prometheus SNMP útflytjandi
promlens	Öflugt tól til að spyrjast fyrir um Prometheus
promreg	Einfalt REST API til að skrá skotmörk með Prometheus.
promreg-ng	Python endurútfærsla á promreg, með HTTP þjónustu uppgötvun.
proof-it	Proof It er nauðsynleg vara fyrir alla ljósmyndara!
proquaere	ProQuaere
prospect-mail	Tilboðspóstur
protected-person-notes	Haltu persónulegum athugasemdum um að fólk sé öruggt og öruggt.
protobuf	Protocol Buffer Compiler
protogrid	Protogrid – vettvangurinn fyrir fyrirtækjaforrit
proton-wallet	róteindaveski
protracker	Klón af ProTracker 2.3D
proxifly	Proxifly er ókeypis proxy API og proxy listi frá 100+ löndum
proxy-ping	Einfalt tól til að smella á netþjóna á bak við eldvegg sem hindrar ICMP pakka.
proxyproxy	Umboðsmaður sem sér um þessa fyrirtækjaumboð fyrir þig
prql-compiler	Tungumál tengslafyrirspurna í leiðslu, borið fram Prequel
prusa-slicer	PrusaSlicer breytir þrívíddarlíkönum í leiðbeiningar fyrir þrívíddarprentara.
ps3netsrv	ps3netsrv
psagent	umboðsmaður
pseqsid	Próteinsequence Identity and Similarity Reiknivél
pskc	OpenThread lykilorðatól
pspad	PSPad er textaritill fyrir forritara.
ps-printer-app	PostScript prentaraforrit
psst-gui	Óopinber Spotify viðskiptavinur með hraðvirku innfæddu GUI
psutil-process-monitoring-snap	psutil ferli eftirlit snapp
ptkei2ng	GUI viðskiptavinur fyrir Wolfpack Empire
ptw	Umbúðir TLS umbúðirnar.
