0ad	古代戰爭即時策略遊戲
noabspath	檢測程式碼庫中用 Rust 編寫的硬編碼絕對路徑
noahs-ark-deluxe	另一個很棒的 PopCap 配對遊戲
nockberge	演示快照
nocloud	NoCloud 平台 CLI
nocturn-mardy	夜
node-env	Ubuntu伺服器上建立node環境的工具
nodejs-binaries	Node.js 二進位。
nodeled	用於控制 Raspberry Pi 上 RGB LED 的簡單 REST API
nodemailerapp	最好的電子郵件調試工具
node-red-amd64	紅色節點
node-red	事件驅動應用程式的低程式碼編程
node-red-industrial	事件驅動應用程式的低程式碼編程
node-red-rpi-lwl	事件驅動應用程式的低程式碼編程
nsw	用於快照的可設定 Web 伺服器
node-web-server-tcs-poc	Chuck Norris 報價伺服器上的 TCS POC
nodo	支援 Amazon S3 API 的開源地理空間儲存伺服器
noetter	諾特
no-gravity	高速太空射擊遊戲
noip-client	適用於 Linux 的無 IP 動態 DNS 更新用戶端
noipy	用於更新 DDNS 主機 IP 的命令列工具 - No-IP、DuckDNS 和 DynDNS
nomad	輕鬆部署任何規模的應用程式
no-more-secrets	CLI 工具，可重現電影《網球》中的解密效果。
nongnu-gsequencer	高級 Gtk+ 音序器
nonogram-qt	Nonogram-qt 是一款益智遊戲，將產生（半）隨機非圖謎題
nonpareil-cm	計算器的高保真模擬器
nope	不
thingy52	緊湊型多感測器 BLE 原型平台
nordpass	北通
norka	文字編輯器旨在簡化
noson	在 SONOS 設備上控制音樂的要點
notable	基於 Markdown 的筆記應用程式並不糟糕。
notable-utility	更新您的 reMarkable 畫面。
notepad3	Notepad3 是一個快速且輕量的文字編輯器。
npdd	一個簡單的 Notepad++ 類型編輯器。
notepadqq	類似於 Linux 下的 Notepad++ 的編輯器。
notepad-plus-plus	notepad-plus-plus 是一個免費的原始碼編輯器。
web-notes	具有完整文件管理功能的筆記應用程式
notes	筆記應用，寫下你的想法
notesnook	Evernote 的開源、端對端加密筆記替代方案。
notewriter	簡單的筆記書寫器
notex	用 C++ 編寫的簡單記事本應用程式！
notifi	HTTP 推播通知
notifier	在不同平台發布通知的小幫手
notion-calendar-snap	適用於 Linux 發行版的非官方 Notion 日曆應用程式
notion-snap-reborn	觀念瞬間重生
notus	對 COVID-19 的傳播進行建模，以創建更安全的多房間佈局。
novnc	使用 HTML5 的開源 VNC 用戶端（WebSockets、Canvas）
np-dictionnaire	Dictionnaire Français hors-ligne（基於拉魯斯）
np-resistor	帶有顏色和 Ω 的電阻計算器
nps-svn-client	NPS Subversion 用戶端提供了一個簡單的圖形 Subversion 用戶端。
nrgeditor	NRG - 即時應用程式開發環境
nrich	用於分析 IP 開放連接埠/漏洞的 CLI 工具
nrj-fr-radio	NRJ.fr 電台
nsd-exporter	NSD（名稱伺服器守護程式）的 Prometheus 匯出器
ntopng-blake	網路為基礎的高速流量分析和流量收集。
ntpcontrol	設定 NTP 伺服器位址的簡單快照
ntpdate-snap	這是 ntpdate 一目了然
ntpserver	ntp 伺服器快照應用程式
nuclear	核
nuclear-invaders	2013 Zx Spectrum Nuclear Invaders 重製版
nucleob	生物資訊學 - 核鹼基和胺基酸統計
nuimio	追蹤和研究詞彙量的最聰明方法
nuko	這個 nuko 套件提供了一種從 Android 中刪除臃腫軟體的方法。
numbers	數位
numbertyping	用於練習的應用程式。
number-zerk	精美的益智遊戲
numgen	產生隨機數（並將它們寫入非快照版本的檔案中）
numix-gtk-themes	GTK Snap 的 Numix GTK 主題
numnom	適合年輕人的數學遊戲
numpy-dice-hy	使用 numpy 擲骰子。
numpyviewer	方便的 numpy 檔案和張量檢視器。
nuspell	快速安全的 C++ 拼字檢查命令列工具
nutty	網路資訊實用程式
nvchess	適用於 nVidia 顯示卡的 3D 遊戲版本
nvidia-core22	用於 core22 快照的 NVIDIA 和 Mesa 庫
nvtop	適用於 AMD、Intel 和 NVIDIA 的 GPU 監控工具
nxcloud	與 Nextcloud 互動的命令列客戶端
nxengine-evo	Doukutsu Monogatari – 跳躍與奔跑平台遊戲
nxshell	NXShell
nyrna	暫停遊戲和應用程式
office20	帶有 O365 UX 的開源最小辦公室套件
o3de	O3DE 是一款開源、跨平台、即時 3D 引擎，可用於創建高性能互動體驗
oai-hss	實體 OpenAirInterface HSS Rel. 14
oai-mme	具有 LL-MEC 代理程式的 OpenAirInterface MME 實體
oai-ran	具有 FlexRAN 代理程式/運行時的 OpenAirInterface RAN 實體
oai-sim	OpenAirInterface L2 系統模擬器/模擬器
oai-spgwc	具有 LL-MEC 代理程式的 OpenAirInterface spgwc 實體
oai-spgwu	具有 LL-MEC 代理程式的實體 OpenAirInterface spgwc Rel. 14
oai-tracer	OpenAirInterface RAN 追蹤器和檢視器
oai-ue	Mosaic5G OAI 歐盟實體
obfuscate	審查私人資訊
edgex-objectbox	具有物聯網邊緣平台 EdgeX Foundry™ 的 ObjectBox 資料庫 - 物聯網中的邊緣運算
obs-cli	透過命令列遠端控制OBS
obscurant	經典的捉迷藏遊戲。
tingdahl-observatory-http-cli-scanner	透過 CLI 掃描器對網站的 HTTPS 實踐進行評分
obsr	OBSR是OBServer的旗艦錢包軟體。
obsidian	黑曜石
obs-studio	用於直播和螢幕錄製的免費開源軟體
ocalver	固執己見的 CalVer 生成器
ocf-util	用於測試 OCF 設備的實用程序
ocrmypdf	OCRmyPDF 為掃描的 PDF 檔案新增可搜尋文字層
ocrmypdfgui	OCRmyPDF 的包裝 GUI，作者：James R Barlow
ocrthypdf	使您的 PDF 文件文字可搜尋（OCRmyPDF 的 GUI）
octave	用於數值計算的互動式程式設計環境
octoprint-sdev	Octoprint，適用於 3D 列印機的敏捷 Web 介面
octopusco	適用於 Linux 的 octopusCo 儀表板應用程式。
odcey	BlackBox Component Builder .odc 格式文字轉換器
odcread	.odc oberon 複合文檔閱讀器（已廢棄）
oddisy	Oddisy - 世界建築資料庫
odin-c2is	ODIN 可協助您使用標準化的北約符號來建立態勢感知
odinlink	OneLink API 實用程式。
officesupplymanagement	辦公用品管理與訂購
offlineimap	離線IMAP
offline-solution-flutter	CBHC 離線 Bahmni
ogre	OGRE（物件導向的圖形渲染引擎）
ogre-meshviewer	OGRE 網格檢視器
ohmygiraffe	喔我的長頸鹿
ohmyirc	哦我的IRC
oil-pipes	西班牙煙鬥益智遊戲
oil-refinery	單行電梯推廣為您帶來精彩快照
oink	Porkbun 的輕量級 DDNS 用戶端
okteta	十六進位編輯器
okular	文件檢視器
olam	Olam 英語馬拉雅拉姆語字典
olan	奧蘭
olang	系統導向的函數式程式語言
olaris	開源、社群驅動的媒體管理器和轉碼伺服器。
osgg	復古重力遊戲
olivia	適用於 Linux 桌面的優雅雲音樂播放器
omabox	用於數位相框的連接網路的照片輪播。
omairqazi-instantnews	https://github.com/omairqazi/omairqazi-instantnews
oman	在本機電腦上從網路閱讀手冊頁
omega-linux	歐米茄角色扮演遊戲
omegat-cat	OmegaT，免費 (GPL) 翻譯記憶庫工具
omniscope-evo	用於資料準備、探索和視覺化的完整 BI 工具
ondra-snap-ssh-debug	帶有整合 ssh 伺服器的 ssh 隧道
onedrive-cli	適用於 Linux 的免費 OneDrive 用戶端
onefetch	命令列 Git 見解工具
onekey-wallet	購買和兌換加密貨幣、NFT
onelink	快速安全的文件傳輸
one-messenger-pc	一個信使
onenote-desktop	適用於 Linux 的 OneNote 桌面用戶端
onionshare	借助 OnionShare，您可以使用 Tor 安全匿名地共享文件、託管網站以及與朋友聊天
onlykey-app	配置和配置OnlyKey
onlyoffice-desktopeditors	一款可讓您建立、檢視和編輯本機文件的辦公室套件。
onlyoffice-ds	線上辦公室套件，可讓您建立、檢視和編輯文件。
ontrackmeetings	正軌會議
onvif	Onvif 相機檢視器。本地或遠端
dpp-chat	烏德信使
oo-ds-test	線上辦公室套件，可讓您建立、檢視和編輯文件。
ooktay-hello	單行電梯推廣為您帶來精彩快照
opalopc	OPC UA 安全掃描器
opcua-aggregator	基於 Ster Five NodeOPCUA 的聚合器
opcua-commander	基於 Curse 的 OPCUA 命令列客戶端
opcua-modeler	由 NodeOPCUA 提供支援的強大 OPC UA 建模器
opcua-toolbox	Ster Five 的 OPCUA 工具箱命令列實用程序
open-adventure	1995 年 Crowther/Woods Adventure 2.5 的高級移植
openapi-oathkeeper	該專案旨在從 OpenAPI 合約自動產生 Ory Oathkeeper 規則
openaudible	有聲書管理器，用於下載、轉換和組織您的有聲書。
openbabel	Open Babel，開源化學工具箱
openbayes-metrics	OpenBayes 指標守護程式
openblok-linux	OpenBlok 是下落方塊遊戲俄羅斯方塊的一個版本
openboard	OpenBoard 是一款供課堂使用的跨平台互動式白板應用程式。
openchrom	質譜和色譜數據的可視化和分析。
openclonk-game	OpenClonk是一個致力於開發Clonk遊戲系列的專案。
opencomic	開放漫畫
opencorsairlink	與 CorsairLink 產品互動的狀態和控制實用程序
opencv-demo-webapp	webAPP OpenCV Demo範例，基於python。前端在連接埠 33443 上處於活動狀態。
odrive-unofficial	這是 Google Drive 的 Linux GUI 用戶端。
opendungeons	開放地下城
open-dungeon	3D角色扮演遊戲
opendylan-timclicks	Dylan 編譯器和工具
openexr-viewer	OpenEXR 檔案的簡單檢視器，具有詳細的元資料顯示
open-file-app	超酷的應用程式
openflexure-connect	開放式柔性連接
openfortivpn	openfortivpn，PPP+SSL VPN 用戶端
open-general	策略遊戲
opengrok	OpenGrok 是一個快速且可用的源代碼和交叉引用搜尋引擎
opengrok-src-updater	opengrok原始碼同步配置
openhab	openHAB 智慧家庭伺服器
openhantek	OpenHantek版本
openiothub	OpenIoTHub應用程式
openjdk	目前 JDK 版本和早期存取版本
openjk	《絕地武士》和《絕地流亡者》系列的開源移植
openjfx	目前的 JavaFX 版本和早期存取版本
open-karaoke-producer	開放卡拉 OK 製作人
open-loco	Chris Sawyer 的 Locomotion 的開源重新實現
openmvg	OpenMVG（開放多視圖幾何）
openmvs	OpenMVS - 開放多視圖立體重建函式庫
openmvs-mardy	OpenMVS - 開放多視圖立體重建函式庫
opennox	Nox 遊戲引擎的現代實現
openosrs	開源 OSRS 用戶端，具有更多功能和更少限制
openra	一款免費/免費的即時戰略遊戲引擎，支援早期Westwood經典
openrct2-unofficial	OpenRCT2 是 RollerCoaster Tycoon 2 的開源重新實現
openrefine	一個強大的、免費的、開源的工具，用於處理混亂的數據
openresizer	大量影像調整器
openrocket	免費且完整的模型火箭模擬器。
openscad	程式設計師的實體 3D CAD 建模器
openscad-nightly	程式設計師的實體 3D CAD 建模器
openshot-community	OpenShot 影片編輯器
open-solitaire-classic	經典紙牌遊戲的開源實現
openspades	沙盒建設和 FPS 視頻遊戲
openspeedtest-server	OpenSpeedTest伺服器
openstack-cli	OpenStack 命令列客戶端
openstackclients	OpenStack 用戶端工具
openstack-toolkit	Openstack 偵錯工具包
open-syobon-action	日本平台遊戲的開源跨平台版本
opentodolist	待辦事項清單和筆記應用程式
opentofu	OpenTofu 讓您以聲明方式管理您的雲端基礎架構。
opentoonz	免費開源 2D 動畫軟體
opentoonz-morevna	免費開源 2D 動畫軟體
opentrack	適用於 MS Windows、Linux 和 Apple OSX 的頭部追蹤軟體
openttd	OpenTTD是一款以Transport Tycoon Deluxe為基礎的開源模擬遊戲
openttd-server	OpenTTD是一款以Transport Tycoon Deluxe為基礎的開源模擬遊戲
open-typer	免費開源打字導師程序
opentyrian	一款街機風格的射擊遊戲
opentyrian-windows	OpenTyrian 是 DOS 遊戲 Tyrian 的開源版本
opera-beta	快速安全的瀏覽器
opera-developer	快速安全的瀏覽器
opera	快速、安全且易於使用的瀏覽器
opera-proxy	獨立 Opera VPN 代理客戶端。
operator-builder	一個 Kubebuilder 插件，用於加速 Kubernetes Operator 的開發。
optiic	Optiic 是一款進階影像辨識 (OCR) 應用程式
opy	來自 Onelinerers 的 Python，其工作方式類似於 AWK
oq	一個可移植的高效能 jq 包裝器，支援 JSON 以外的格式
oracle-cloud-agent	Oracle 雲端代理
ora	現在
orangecalc	Orange Calculator Lite 是簡單的 Java 計算器！
orange-installation-utility	橙色安裝實用程式
oras	ORAS CLI 工具包
orbit	一個簡單的遙測系統來監控您的遠端應用程式
orchis-themes	GTK Snap 的 Orchis GTK 主題
organize-my-files	簡單的檔案管理器
org-stats	GitHub 組織統計
oriconn	WAMP路由器
origin-routing-machine	ORM 是一個反向代理配置產生器。
orion-desktop	適用於 Linux 桌面的全功能 torrent 用戶端和串流媒體
ornament	概括
oscam	OSCam是一款開源條件接收模組軟體
osddm	Oracle SQL Developer 資料建模器
osmclient	用於 osm 編排的 python 用戶端
osreport	Openstack 偵錯工具包
os-runes	老派 RuneScape 啟動器
ostad	Ostad 是孟加拉的終極技能發展平台
osterw-snap-build-toy	用於測試施工過程的玩具卡扣
osv-scanner	針對專案依賴關係的漏洞掃描器
osync	用於以最佳方式將大量檔案同步到 FTP 伺服器的工具。
othello	經典桌遊的精美版本
othman-browser	奧斯曼瀏覽器
otot	!!!esrevinu pans eht fo pans tnatropmi tsom ehT！
outpost	高階職位
outwiker	跨平台軟體可將您的筆記保存在樹中
oval-xml-feed-merge	合併 OVAL XML 提要的工具
overlay	透過overlayfs協助調試只讀squashfs snaps的工具
overleaf	非官方 Overleaf 桌面應用程式
overseerr	Plex 生態系統的請求管理與媒體發現工具
oversetter	奧弗塞特
ovolic	Ovolic 是一個本地自由職業市場，可以為您提供最佳的自由職業體驗。
ovs-stat	建立 Open vSwitch 交換器的 sysfs 風格表示。
ownrwallet	OWNR 加密錢包和 Visa 卡 - 比特幣、以太幣、btc、eth、加密錢包
owwatcher	檢測何時在指定目錄中建立全域可寫文件
oxygen-cursors	氧氣遊標主題
p2pool	用於門羅幣挖礦的去中心化礦池。
p3x-onenote	P3X OneNote
p3x-redis-ui	P3X Redis 使用者介面
p65pas	適用於6502 CPU的跨平台Pascal交叉編譯器
p7zip-desktop	P7Zip - 桌面
pa-applet	脈衝音頻小程式
pablodraw	PabloDraw - ANSI 繪圖應用程式
pacewar	在遙遠的未來，兩派爭奪太空控制權
packageproxy	大約基於資料包代理程式在連接埠 9999 上運行
package-resolved	收集所有包裹！
packer-abacao	Packer - 建立自動化機器的影像
packer	用於為多個平台建立機器映像的工具
packer-res0nat0r	Packer - 建立自動化機器的影像
packer-spirotot	Packer - 建立自動化機器的影像
packetsender	資料包發送器 - 免費 TCP/UDP/SSL/HTTP 實用程式
packr2	在 Go 二進位檔案中嵌入靜態檔案的簡單方法。
pacman-crasher	ZX Spectrum 益智遊戲 Gatecrasher 的免費重製版
pacmans-revenge	有新遊戲元素的吃豆人
pacote-legal-desireesantos	這個包真的很酷
pac-vs	PAC 是 SecureCRT/Putty/等的 Perl/GTK Gnome 替代品。
padloc	適用於個人和團隊的現代密碼管理器
pageme-business	由 Matrix 提供支援的安全加密訊息傳遞應用程式
pageres	擷取網站螢幕截圖
paintpp	Paint.net 的跨平台克隆
paintsupreme-3d	油漆至尊 3D
palapeli	謎
pal-pv	朋友
pall	選擇一種顏色。任何地方。
paneladmin	顫動
panelone	控制板
panorama	一個簡單的 Linux 系統監視器
panwriter	泛作家
paper-wallet-generator	PaperWallet 加密貨幣產生器
paper	在 Markdown 做筆記
paper-flight	有趣的遊戲
papyrus	Papyrus – 一個簡單的紙質備份工具
tube-converter	從網路下載視訊和音頻
paradrop-agent	Paradrop Agent 用於管理邊緣運算節點
paradrop-imserve	依序顯示影像的虛擬相機。
paradrop-router	Paradrop 無線路由器
paradrop-snmpd	為 ParaDrop 打包的 SNMP 代理
paradrop-tools	ParaDrop 開發工具
paradrop-voice	為 Paradrop 節點啟用語音輸出和辨識。
para	用於分析軟體套件管理器的有用工具。
paratextlite	在桌面上運行的 Paratext Lite
parca-agent	Parca Agent 是一個始終在線的採樣分析器，使用 eBPF
parca	Parca 連續輪廓工具
parity	快速、輕量級且強大的以太坊客戶端。
parity-ui	奇偶校驗使用者介面
parkourland-remastered	體驗 Linux 上的第一個跑酷樂園！
parley	詞彙訓練師
parq	用於探索鑲木地板文件的 CLI。
parsec	安全雲端框架
pass-hash	密碼雜湊並將密碼與雜湊進行比較
passie	一個簡單但功能強大的密碼產生器。
passky	帕斯基
passprox	帶有 Certbot 的 HAProxy（Let's Encrypt 支援）
passvault	安全的
password-creator	輕鬆建立強密碼。再也不用擔心您的帳戶安全了！
password-creator-fullscreen	輕鬆建立強密碼。再也不用擔心您的帳戶安全了！
